OBJECTID,SiteName,SiteNumber,Longitude,Latitude,Region,Sampling_Type,Location_Notes,x,y
104,Whyalla WH-D Surface,6000005,137.696,-33.02539,Offshore,Karenia counts,,137.696,-33.02539
105,Whyalla WH-E Surface,6000006,137.74773,-32.9967,Offshore,Karenia counts,,137.74773,-32.9967
106,Tumby Bay Jetty,2000012,136.10705408,-34.37745919,Regional - Eyre Peninsula,Full scan (presence of all species),,136.10705408,-34.377459191
107,Whyalla Jetty,2000011,137.59372698,-33.0430623,Regional - Eyre Peninsula,Quick scan (presence of potentially harmful species),,137.593726983,-33.043062301
108,Arno Bay Jetty,2000009,136.57627252,-33.91850647,Regional - Eyre Peninsula,Quick scan (presence of potentially harmful species),,136.576272524,-33.9185064719999
109,Point Lowly Marina,2000010,137.78327571,-32.99264147,Regional - Eyre Peninsula,Quick scan (presence of potentially harmful species),,137.783275708,-32.9926414729999
111,Kingscote Jetty,2000014,137.64655721,-35.65579751,Regional - Kangaroo Island,Full scan (presence of all species),,137.646557213,-35.655797514
112,Emu Bay Jetty,2000013,137.5067461,-35.59091602,Regional - Kangaroo Island,Quick scan (presence of potentially harmful species),,137.5067461,-35.590916019
113,Brighton Jetty,1000021,138.5120937,-35.01748807,Metropolitan,Quick scan (presence of potentially harmful species),,138.512093696,-35.017488075
114,Myponga,1000025,138.384517,-35.37055,Regional - Southern Fleurieu,Quick scan (presence of potentially harmful species),,138.384517,-35.37055
115,Hallett Cove,1000022,138.494139,-35.073528,Metropolitan,Quick scan (presence of potentially harmful species),,138.494139,-35.073528
117,Aldinga Snapper Point,5000027,138.433117,-35.269067,Ad hoc - Southern Fleurieu,Quick scan (presence of potentially harmful species),,138.433117,-35.2690669999999
118,Aldinga Beach,1000024,138.456019,-35.263435,Regional - Southern Fleurieu,Full scan (presence of all species),,138.456019,-35.263435
119,Munyaroo MD1,5000019,137.39168333,-33.43658333,Ad hoc - offshore,Quick scan (presence of potentially harmful species),,137.391683333,-33.4365833329999
120,Munyaroo MD2,5000020,137.4136,-33.37246667,Ad hoc - offshore,Quick scan (presence of potentially harmful species),,137.4136,-33.372466667
121,Munyaroo MD3,5000021,137.40211667,-33.31946667,Ad hoc - offshore,Quick scan (presence of potentially harmful species),,137.402116667,-33.319466667
122,Munyaroo MD4,5000022,137.45598333,-33.40051667,Ad hoc - offshore,Quick scan (presence of potentially harmful species),,137.455983333,-33.400516667
123,Munyaroo MD5,5000023,137.47265,-33.33025,Ad hoc - offshore,Quick scan (presence of potentially harmful species),,137.47265,-33.33025
124,Munyaroo MD6,5000024,137.46836667,-33.23376667,Ad hoc - offshore,Quick scan (presence of potentially harmful species),,137.468366667,-33.2337666669999
125,Munyaroo MD7,5000025,137.41771667,-33.4726,Ad hoc - offshore,Quick scan (presence of potentially harmful species),,137.417716667,-33.4725999999999
126,Munyaroo MD8,5000026,137.34875,-33.49923333,Ad hoc - offshore,Quick scan (presence of potentially harmful species),,137.34875,-33.4992333329999
128,Penneshaw Breakwater,2000015,137.94413995,-35.71659788,Regional - Kangaroo Island,Quick scan (presence of potentially harmful species),,137.944139946,-35.7165978849999
129,Port MacDonnell Jetty,2000016,140.70264129,-38.05665173,Regional - South East,Quick scan (presence of potentially harmful species),,140.70264129,-38.0566517299999
130,Cable Bay,6000019,136.89943,-35.28627,Ad hoc - Yorke Peninsula,Karenia counts,,136.89943,-35.2862699999999
131,Henley Beach Jetty 300 m Offshore,6000020,138.48489,-34.920092,Ad hoc - metropolitan,Karenia counts,,138.48489,-34.920092
132,Henley Beach Jetty 500 m Offshore,6000021,138.4807,-34.920228,Ad hoc - metropolitan,Karenia counts,,138.4807,-34.920228
133,Henley Beach Jetty Surf Zone,6000022,138.492928,-34.91956,Ad hoc - metropolitan,Karenia counts,,138.492928,-34.9195599999999
134,Henley Beach Jetty 1 NM Offshore,6000023,138.470558,-34.92068,Ad hoc - metropolitan,Karenia counts,,138.470558,-34.9206799999999
135,Marino 1,6000024,138.50813,-35.04461,Ad hoc - metropolitan,Karenia counts,,138.50813,-35.04461
136,Marino 2,6000025,138.50806,-35.0452,Ad hoc - metropolitan,Karenia counts,,138.50806,-35.0452
137,Marino 3,6000026,138.5084,-35.0439,Ad hoc - metropolitan,Karenia counts,,138.5084,-35.0439
138,Port Lincoln Salmon Pty Ltd,6000027,136.18889,-35.00861,Ad hoc - Eyre Peninsula,Karenia counts,,136.18889,-35.00861
139,Robe Breakwater,2000018,139.75290614,-37.15932824,Regional - South East,Full scan (presence of all species),,139.752906137,-37.159328237
140,Cape Jaffa Jetty,2000017,139.68792754,-36.93968694,Regional - South East,Quick scan (presence of potentially harmful species),,139.687927538,-36.939686937
141,Seacliff 1,6000037,138.51652,-35.0342,Ad hoc - metropolitan,Karenia counts,,138.51652,-35.0342000009999
142,Seacliff 2,6000038,138.51577,-35.03648,Ad hoc - metropolitan,Karenia counts,,138.51577,-35.036480001
143,Seacliff 3,6000039,138.5163,-35.03337,Ad hoc - metropolitan,Karenia counts,,138.5163,-35.033370001
144,Henley Beach 1,6000028,138.49114,-34.91439,Ad hoc - metropolitan,Karenia counts,,138.49114,-34.914390001
145,Henley Beach 2,6000029,138.49057,-34.91371,Ad hoc - metropolitan,Karenia counts,,138.49057,-34.913710001
146,Henley Beach 3,6000030,138.49134,-34.91559,Ad hoc - metropolitan,Karenia counts,,138.49134,-34.9155900009999
147,Parham 1,6000031,138.25647,-34.43724,Ad hoc - metropolitan,Karenia counts,,138.25647,-34.437240001
148,Parham 2,6000032,138.25613,-34.43104,Ad hoc - metropolitan,Karenia counts,,138.25613,-34.4310400009999
149,Parham 3,6000033,138.25672,-34.43378,Ad hoc - metropolitan,Karenia counts,,138.25672,-34.4337800009999
150,Port Noarlunga 1,6000034,138.468806,-35.152999,Ad hoc - metropolitan,Karenia counts,,138.468806,-35.152999001
151,Port Noarlunga 2,6000035,138.468712,-35.154041,Ad hoc - metropolitan,Karenia counts,,138.468712,-35.1540410009999
152,Port Noarlunga 3,6000036,138.468877,-35.152205,Ad hoc - metropolitan,Karenia counts,,138.468877,-35.152205001
153,West Beach 1,6000043,138.49839,-34.9421,Ad hoc - metropolitan,Karenia counts,,138.49839,-34.9421
154,West Beach 2,6000044,138.49832,-34.94112,Ad hoc - metropolitan,Karenia counts,,138.49832,-34.94112
155,West Beach 3,6000045,138.49881,-34.94279,Ad hoc - metropolitan,Karenia counts,,138.49881,-34.9427899999999
156,Port River 1,6000040,138.4957,-34.84211,Ad hoc - metropolitan,Karenia counts,,138.4957,-34.8421099999999
157,Port River 2,6000041,138.49604,-34.84345,Ad hoc - metropolitan,Karenia counts,,138.49604,-34.84345
158,Port River 3,6000042,138.49577,-34.84525,Ad hoc - metropolitan,Karenia counts,,138.49577,-34.84525
159,Stansbury ad hoc,6000046,137.84987,-34.92895,Ad hoc - Yorke Peninsula,Karenia counts,,137.84987,-34.9289499999999
167,Aldinga Fishkill 3,6000055,138.4475,-35.31512,Ad hoc - Southern Fleurieu,Karenia counts,,138.4475,-35.31512
168,Aldinga Fishkill 1,6000053,138.44753,-35.31607,Ad hoc - Southern Fleurieu,Karenia counts,,138.44753,-35.31607
169,Aldinga Fishkill 2,6000054,138.44772,-35.31695,Ad hoc - Southern Fleurieu,Karenia counts,,138.44772,-35.31695
170,Largs Fishkill 1,6000047,138.48588,-34.82079,Ad hoc - metropolitan,Karenia counts,,138.48588,-34.8207899999999
171,Largs Fishkill 2,6000048,138.48513,-34.82004,Ad hoc - metropolitan,Karenia counts,,138.48513,-34.8200399999999
172,Largs Fishkill 3,6000049,138.48562,-34.82156,Ad hoc - metropolitan,Karenia counts,,138.48562,-34.82156
173,Robe Long Beach Boatswains Point,6000050,139.752,-37.163,Ad hoc - South East,Karenia counts,,139.752,-37.163
174,Robe Long Beach Middle,6000051,139.803,-37.157,Ad hoc - South East,Karenia counts,,139.803,-37.157
